datetime,coordinates,model,model elevation,utc_offset,temperature,dewpoint_temperature,relative_humidity,surface_pressure,direct_normal_solar_radiation,surface_diffuse_solar_radiation,surface_solar_radiation,surface_thermal_radiation,surface_direct_solar_radiation,wind_speed,wind_direction,total_cloud_cover,total_precipitation,snowfall
2023-01-01 00:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,-7.17,-15.79,0.5,102947.29,0.0,3.21,4.02,202.33,0.81,1.5,3.5,0.0,0.0,0.0
2023-01-01 01:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,-6.56,-14.81,0.52,102998.57,389.6,41.04,93.36,203.75,52.33,1.89,12.2,0.0,0.0,0.0
2023-01-01 02:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,0.46,-14.44,0.32,103034.62,603.41,70.64,236.12,206.09,165.49,1.86,22.42,0.0,0.0,0.0
2023-01-01 03:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,0.56,-14.48,0.31,103034.68,716.99,85.47,356.8,209.43,271.33,2.28,33.82,0.01,0.0,0.0
2023-01-01 04:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,0.83,-13.94,0.32,102924.03,771.25,92.05,431.2,212.24,339.15,2.45,40.49,0.24,0.0,0.0
2023-01-01 05:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,4.05,-14.38,0.25,102865.81,780.72,93.75,448.21,214.77,354.46,2.18,45.11,0.15,0.0,0.0
2023-01-01 06:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,4.2,-14.41,0.24,102773.93,719.58,98.82,401.24,218.05,302.42,2.0,48.67,0.36,0.0,0.0
2023-01-01 07:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,4.26,-14.57,0.24,102763.8,641.7,87.78,306.48,222.91,218.7,1.96,62.36,0.89,0.0,0.0
2023-01-01 08:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,1.68,-13.52,0.31,102811.07,391.14,77.2,163.66,226.71,86.46,1.59,93.13,1.0,0.0,0.0
2023-01-01 09:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,1.6,-15.54,0.27,102880.66,211.72,24.74,39.38,220.4,14.64,2.29,120.52,0.95,0.0,0.0
