datetime,coordinates,model,model elevation,utc_offset,temperature,dewpoint_temperature,relative_humidity,surface_pressure,direct_normal_solar_radiation,surface_diffuse_solar_radiation,surface_solar_radiation,surface_thermal_radiation,surface_direct_solar_radiation,wind_speed,wind_direction,total_cloud_cover,total_precipitation,snowfall
2024-04-01 00:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,10.12,-1.48,0.44,100840.53,396.66,85.55,199.48,266.41,113.92,1.66,88.39,0.75,0.0,0.0
2024-04-01 01:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,9.54,-2.3,0.43,100926.39,467.5,141.8,360.44,274.26,218.64,2.4,91.64,0.72,0.0,0.0
2024-04-01 02:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.91,-3.47,0.32,100900.81,507.03,174.94,489.2,290.48,314.26,2.59,96.08,0.67,0.0,0.0
2024-04-01 03:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.21,-4.48,0.29,100864.37,486.75,203.59,560.49,309.4,356.89,2.58,103.2,0.67,0.0,0.0
2024-04-01 04:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.55,-5.36,0.26,100789.58,468.87,217.87,593.07,327.29,375.21,2.78,111.98,0.79,0.0,0.0
2024-04-01 05:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.84,-5.6,0.24,100672.67,392.15,243.59,563.68,328.87,320.09,2.99,119.96,0.86,0.0,0.0
2024-04-01 06:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.6,-5.62,0.24,100567.37,311.62,196.3,439.43,321.46,243.13,3.11,122.64,0.97,0.0,0.0
2024-04-01 07:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.83,-5.52,0.24,100476.47,119.86,181.61,264.86,339.38,83.25,2.91,118.7,0.94,0.0,0.0
2024-04-01 08:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.0,-5.32,0.26,100424.75,82.66,168.07,214.8,341.82,46.73,2.92,116.65,0.9,0.0,0.0
2024-04-01 09:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.34,-5.81,0.24,100396.22,56.75,89.33,112.09,344.64,22.76,2.79,114.5,0.92,0.0,0.0
2024-04-01 10:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.46,-7.25,0.25,100411.11,39.58,45.99,54.42,339.72,8.43,1.02,106.68,1.0,0.0,0.0
2024-04-01 11:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.66,-8.25,0.22,100462.09,0.0,6.38,6.62,341.81,0.24,1.02,47.58,1.0,0.0,0.0
2024-04-01 12:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.86,-7.32,0.24,100435.0,0.0,0.0,0.0,336.15,0.0,1.45,43.41,1.0,0.0,0.0
2024-04-01 13:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.15,-7.55,0.23,100542.8,0.0,0.0,0.0,328.51,0.0,1.61,49.86,1.0,0.0,0.0
2024-04-01 14:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.43,-8.38,0.23,100507.85,0.0,0.0,0.0,324.74,0.0,1.79,57.94,0.98,0.0,0.0
2024-04-01 15:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,11.17,-10.23,0.21,100573.62,0.0,0.0,0.0,327.84,0.0,1.72,41.56,0.96,0.0,0.0
2024-04-01 16:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,10.67,-8.7,0.25,100604.27,0.0,0.0,0.0,315.36,0.0,1.98,36.6,0.97,0.0,0.0
2024-04-01 17:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,10.36,-7.16,0.28,100565.02,0.0,0.0,0.0,322.15,0.0,2.03,34.63,1.0,0.0,0.0
2024-04-01 18:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,9.71,-6.83,0.31,100609.79,0.0,0.0,0.0,302.95,0.0,1.5,21.18,1.0,0.0,0.0
2024-04-01 19:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,9.78,-6.46,0.31,100589.4,0.0,0.0,0.0,319.13,0.0,1.52,356.74,1.0,0.0,0.0
2024-04-01 20:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,8.77,-5.46,0.36,100579.86,0.0,0.0,0.0,319.15,0.0,1.8,343.22,1.0,0.0,0.0
2024-04-01 21:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,8.59,-4.27,0.4,100552.75,0.0,0.0,0.0,315.19,0.0,1.91,340.78,1.0,0.0,0.0
2024-04-01 22:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,11.13,-6.2,0.29,100588.31,0.0,0.0,0.0,310.66,0.0,2.01,345.91,1.0,0.0,0.0
2024-04-01 23:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,10.88,-5.73,0.31,100561.8,5.85,31.99,32.55,304.18,0.56,2.11,343.56,1.0,0.0,0.0
2024-04-02 00:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,11.36,-5.23,0.31,100574.17,80.34,116.45,139.93,302.13,23.48,1.78,352.31,1.0,0.0,0.0
2024-04-02 01:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,11.74,-5.76,0.29,100655.76,219.45,184.82,288.52,307.12,103.7,1.61,20.94,0.98,0.0,0.0
2024-04-02 02:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,16.38,-5.26,0.22,100695.19,339.63,228.75,440.83,310.6,212.07,1.37,57.78,0.76,0.0,0.0
2024-04-02 03:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,16.47,-4.38,0.24,100706.47,401.77,273.39,569.73,308.94,296.34,1.65,59.98,0.68,0.02,0.0
2024-04-02 04:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,16.68,-3.36,0.25,100661.07,553.6,229.81,675.06,307.72,445.26,2.11,54.83,0.75,0.04,0.0
2024-04-02 05:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,19.21,-2.51,0.23,100594.87,577.34,253.3,726.74,317.57,473.45,2.37,52.14,0.87,0.01,0.0
2024-04-02 06:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,19.29,-1.85,0.24,100494.6,497.88,262.09,652.32,320.88,390.23,2.53,64.56,0.58,0.0,0.0
2024-04-02 07:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,19.22,-1.09,0.25,100414.91,536.45,201.57,576.01,316.12,374.44,2.32,82.09,0.74,0.0,0.0
2024-04-02 08:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,19.0,-0.28,0.27,100368.82,397.94,169.58,395.82,324.17,226.24,1.9,103.64,0.76,0.0,0.0
2024-04-02 09:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,18.87,-0.23,0.28,100386.99,186.95,146.34,221.91,334.71,75.57,1.78,131.18,1.0,0.0,0.0
2024-04-02 10:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,16.53,0.55,0.34,100458.09,100.2,66.85,88.53,330.71,21.68,1.77,173.27,1.0,0.0,0.0
2024-04-02 11:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,16.04,0.65,0.35,100491.74,0.0,11.68,12.68,320.7,1.0,2.08,185.82,1.0,0.0,0.0
2024-04-02 12:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,15.81,1.0,0.37,100576.18,0.0,0.0,0.0,318.74,0.0,1.87,185.19,1.0,0.0,0.0
2024-04-02 13:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,16.07,1.4,0.37,100646.42,0.0,0.0,0.0,321.84,0.0,1.81,165.19,0.99,0.0,0.0
2024-04-02 14:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,15.04,1.24,0.39,100705.74,0.0,0.0,0.0,323.42,0.0,2.08,159.13,0.99,0.0,0.0
2024-04-02 15:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.12,2.04,0.44,100784.11,0.0,0.0,0.0,314.94,0.0,1.72,147.19,1.0,0.0,0.0
2024-04-02 16:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.09,1.08,0.41,100845.74,0.0,0.0,0.0,325.99,0.0,1.39,131.23,0.99,0.0,0.0
2024-04-02 17:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.59,1.42,0.44,100923.9,0.0,0.0,0.0,322.37,0.0,0.59,92.74,0.99,0.0,0.0
2024-04-02 18:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.25,1.68,0.45,100935.09,0.0,0.0,0.0,325.26,0.0,0.63,3.58,0.99,0.0,0.0
2024-04-02 19:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.27,2.55,0.51,100960.21,0.0,0.0,0.0,332.03,0.0,1.2,340.84,1.0,0.0,0.0
2024-04-02 20:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,11.48,2.47,0.54,101015.3,0.0,0.0,0.0,331.82,0.0,1.41,329.17,1.0,0.0,0.0
2024-04-02 21:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,11.58,3.21,0.56,101067.44,0.0,0.0,0.0,331.16,0.0,1.7,337.43,1.0,0.0,0.0
2024-04-02 22:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.27,2.43,0.48,101129.49,0.0,0.0,0.0,328.95,0.0,1.67,324.74,1.0,0.0,0.0
2024-04-02 23:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.77,1.36,0.43,101164.1,0.18,14.25,14.27,330.37,0.02,1.58,326.39,1.0,0.0,0.0
2024-04-03 00:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.0,0.02,0.38,101199.59,7.18,57.84,59.98,327.51,2.14,1.42,333.75,0.99,0.0,0.0
2024-04-03 01:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.72,-1.66,0.32,101191.71,49.74,169.09,192.83,326.04,23.74,1.09,44.58,0.78,0.0,0.0
2024-04-03 02:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,17.71,-4.06,0.22,101138.17,323.65,221.76,425.34,314.42,203.58,1.43,67.33,0.01,0.0,0.0
2024-04-03 03:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,17.63,-2.45,0.25,101114.77,500.39,238.19,609.41,298.8,371.22,0.5,117.06,0.15,0.0,0.0
2024-04-03 04:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,17.97,-1.5,0.27,101110.06,768.57,186.52,807.76,291.99,621.24,1.62,208.51,1.0,0.0,0.0
2024-04-03 05:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,19.41,-0.84,0.26,101019.33,548.3,279.6,731.3,309.58,451.69,2.08,217.12,1.0,0.0,0.0
2024-04-03 06:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,19.16,-0.27,0.27,100947.44,398.91,322.46,636.53,311.07,314.06,2.62,222.45,1.0,0.0,0.0
2024-04-03 07:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,18.81,-0.09,0.28,100870.42,212.83,304.41,453.67,326.52,149.26,2.95,208.54,1.0,0.0,0.0
2024-04-03 08:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,18.19,-0.19,0.29,100804.09,196.6,249.81,362.21,318.36,112.41,4.07,200.02,1.0,0.0,0.0
2024-04-03 09:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,17.55,-0.29,0.3,100839.16,164.0,167.9,234.72,313.58,66.82,4.36,201.78,0.99,0.0,0.0
2024-04-03 10:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,15.04,0.49,0.37,100812.19,75.35,88.41,104.95,308.73,16.54,3.7,211.81,1.0,0.0,0.0
